run_id,stream_id,simulation_tag,sweep_tag,profile,scope,config_id,config_key,bootstrap_group_key,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,bootstrap_seed,null_seed,lambda_qut,map_estimator,map_status,similarity_method,profile_support_sectors,off_profile_sectors,recovered_background_level,support_cosine,outside_energy_fraction,penalized_profile_cosine,recovered_support_energy,recovered_outside_energy,recovered_dynamic_range,error
high_y_side__full_game__b010_p00100_s050,high_y_side__full_game__p00100_s050,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,0,b010_p00100_s050,p00100_s050,full_factorial_nested_prefix,10,100,50,1626580737,2687613393,4.3432859360553175,nested_prefix_median_v1,ok,support_cosine_with_off_profile_energy_v1,35,165,-0.017539759166538715,0.9935217070996312,0.016163342273370063,0.9854596813610034,0.2916902613363496,0.004792146638124366,0.09907829947769642,
high_y_side__full_game__b050_p00100_s050,high_y_side__full_game__p00100_s050,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,15,b050_p00100_s050,p00100_s050,full_factorial_nested_prefix,50,100,50,1626580737,2687613393,4.3432859360553175,nested_prefix_median_v1,ok,support_cosine_with_off_profile_energy_v1,35,165,-0.0018287267303094268,0.9850654602473349,0.010243355594061717,0.9800072858392166,0.1512619470744318,0.001565465531846499,0.07212181517388672,
high_y_side__full_game__b100_p00100_s050,high_y_side__full_game__p00100_s050,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,30,b100_p00100_s050,p00100_s050,full_factorial_nested_prefix,100,100,50,1626580737,2687613393,4.3432859360553175,nested_prefix_median_v1,ok,support_cosine_with_off_profile_energy_v1,35,165,-0.009428962599486113,0.9830641405590291,0.012390064788957274,0.9769550443576523,0.2609425941878901,0.0032736564638706908,0.096307132858783,
high_y_side__full_game__b010_p00100_s100,high_y_side__full_game__p00100_s100,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,1,b010_p00100_s100,p00100_s100,full_factorial_nested_prefix,10,100,100,3943612369,1180889823,5.241395057179095,nested_prefix_median_v1,ok,support_cosine_with_off_profile_energy_v1,35,165,-0.012077413499355316,0.9967561684714548,0.04752815554146986,0.9727808336881422,0.31386151380918154,0.01566162709542797,0.0972699043340981,
high_y_side__full_game__b050_p00100_s100,high_y_side__full_game__p00100_s100,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,16,b050_p00100_s100,p00100_s100,full_factorial_nested_prefix,50,100,100,3943612369,1180889823,5.241395057179095,nested_prefix_median_v1,ok,support_cosine_with_off_profile_energy_v1,35,165,-0.009572467301040888,0.9920763466671645,0.01954361443320254,0.982334133481445,0.2459351765591832,0.004902270347758176,0.09078294923529029,
high_y_side__full_game__b100_p00100_s100,high_y_side__full_game__p00100_s100,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,31,b100_p00100_s100,p00100_s100,full_factorial_nested_prefix,100,100,100,3943612369,1180889823,5.241395057179095,nested_prefix_median_v1,ok,support_cosine_with_off_profile_energy_v1,35,165,-0.008651675656437874,0.9875395233860212,0.01899276458419508,0.9781165138062499,0.23593496189266414,0.004567812577354833,0.08906090771779418,
high_y_side__full_game__b010_p00100_s150,high_y_side__full_game__p00100_s150,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,2,b010_p00100_s150,p00100_s150,full_factorial_nested_prefix,10,100,150,4026978240,4020078778,5.3970169620813415,nested_prefix_median_v1,ok,support_cosine_with_off_profile_energy_v1,35,165,-0.012038464192301035,0.9829086098651572,0.004840462229435915,0.980526858173606,0.28585909190442793,0.001390420414805134,0.10123549774289131,
high_y_side__full_game__b050_p00100_s150,high_y_side__full_game__p00100_s150,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,17,b050_p00100_s150,p00100_s150,full_factorial_nested_prefix,50,100,150,4026978240,4020078778,5.3970169620813415,nested_prefix_median_v1,ok,support_cosine_with_off_profile_energy_v1,35,165,-0.01393612427636981,0.9894671969405866,0.009000518123487535,0.9850042733667127,0.30953160044459643,0.002811247463337066,0.10093656508252025,
high_y_side__full_game__b100_p00100_s150,high_y_side__full_game__p00100_s150,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,32,b100_p00100_s150,p00100_s150,full_factorial_nested_prefix,100,100,150,4026978240,4020078778,5.3970169620813415,nested_prefix_median_v1,ok,support_cosine_with_off_profile_energy_v1,35,165,-0.011264759581536055,0.9876262678906033,0.008546398667672749,0.9833968880988072,0.23590839164143262,0.0020335466645214776,0.0882553462870419,
high_y_side__full_game__b010_p00100_s200,high_y_side__full_game__p00100_s200,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,full_game,3,b010_p00100_s200,p00100_s200,full_factorial_nested_prefix,10,100,200,1010574105,120454109,4.810103601899965,nested_prefix_median_v1,ok,support_cosine_with_off_profile_energy_v1,35,165,-0.013231591321527958,0.9825233185739729,0.025274217661081406,0.9700276043319046,0.3898328334440498,0.010108196646095437,0.11638163591269404,
